Jack-Spades,Ace-Diamonds,9-Diamonds,9-Hearts,10-Hearts,0.3,0.4,0.7,0.5,false
5-Spades,5-Hearts,10-Spades,5-Diamonds,9-Hearts,0.3,0.75,0.7,0.5,true
8-Spades,9-Clubs,9-Diamonds,Jack-Hearts,Jack-Spades,0.4,0.75,0.5,0.5,true
King-Spades,Ace-Diamonds,10-Spades,3-Hearts,9-Spades,0.3,0.7,true
9-Clubs,King-Hearts,2-Spades,3-Spades,Ace-Spades,0.3,0.7,false
Ace-Clubs,Queen-Spades,3-Hearts,8-Clubs,7-Hearts,0.3,0.7,false
King-Hearts,6-Hearts,Queen-Hearts,4-Hearts,King-Clubs,0.3,0.7,false
10-Hearts,Ace-Spades,7-Clubs,Queen-Spades,6-Diamonds,0.9,0.1,false
10-Diamonds,10-Spades,3-Hearts,Jack-Spades,5-Hearts,0.9,0.1,false
6-Clubs,King-Clubs,3-Hearts,9-Diamonds,4-Hearts,0.3,0.7,false
7-Hearts,King-Hearts,2-Hearts,Jack-Clubs,5-Spades,0.3,0.7,false
10-Spades,10-Clubs,Ace-Clubs,Queen-Spades,Jack-Clubs,0.3,0.75,0.7,0.5,true
5-Hearts,10-Hearts,8-Diamonds,5-Spades,Jack-Spades,0.4,0.9,0.5,0.1,true
9-Clubs,Ace-Hearts,10-Clubs,King-Diamonds,9-Spades,0.3,0.7,true
Jack-Clubs,6-Clubs,King-Diamonds,6-Hearts,9-Diamonds,0.3,0.7,true
Ace-Diamonds,9-Spades,King-Clubs,3-Diamonds,8-Clubs,0.4,0.5,false
King-Spades,8-Spades,Jack-Diamonds,9-Hearts,4-Hearts,0.3,0.4,0.7,0.5,false
9-Clubs,King-Hearts,King-Spades,3-Clubs,2-Hearts,0.3,0.4,0.7,0.5,true
10-Diamonds,King-Hearts,3-Hearts,Queen-Spades,7-Diamonds,0.3,0.7,false
5-Diamonds,6-Diamonds,4-Diamonds,6-Spades,Jack-Spades,0.3,0.4,0.7,0.5,true
9-Hearts,7-Hearts,Ace-Clubs,8-Clubs,10-Diamonds,0.3,0.7,false
King-Clubs,9-Clubs,King-Spades,7-Clubs,8-Hearts,0.4,0.5,false
Queen-Diamonds,Ace-Spades,9-Spades,4-Clubs,Ace-Clubs,0.3,0.4,0.7,0.5,true
3-Diamonds,King-Diamonds,6-Diamonds,3-Hearts,Ace-Spades,0.3,0.7,true
10-Diamonds,8-Hearts,10-Clubs,8-Diamonds,Queen-Hearts,0.3,0.4,0.7,0.5,true
Jack-Clubs,Jack-Diamonds,Queen-Spades,10-Diamonds,10-Hearts,0.3,0.4,0.7,0.5,false
Jack-Spades,6-Spades,3-Hearts,9-Diamonds,Jack-Clubs,0.9,0.2,true
King-Diamonds,5-Spades,3-Spades,7-Hearts,8-Clubs,0.3,0.4,0.7,0.5,false
9-Clubs,10-Clubs,5-Spades,4-Hearts,2-Diamonds,0.3,0.7,false
King-Spades,King-Diamonds,9-Diamonds,Queen-Hearts,Queen-Diamonds,0.3,0.4,0.7,0.5,true
Queen-Clubs,Jack-Diamonds,6-Diamonds,Queen-Diamonds,9-Hearts,0.3,0.4,0.7,0.5,false
Jack-Diamonds,10-Diamonds,King-Spades,7-Hearts,5-Hearts,0.3,0.7,false
Queen-Spades,Ace-Diamonds,10-Diamonds,Queen-Hearts,9-Hearts,0.3,0.4,0.7,0.5,false
Jack-Spades,Jack-Diamonds,6-Spades,7-Clubs,9-Hearts,0.3,0.7,true
8-Clubs,8-Diamonds,Queen-Clubs,King-Spades,Queen-Spades,0.3,0.4,0.7,0.5,false
8-Clubs,King-Clubs,6-Spades,8-Diamonds,9-Spades,0.3,0.4,0.7,0.5,false
Ace-Spades,4-Hearts,2-Clubs,5-Spades,Queen-Spades,0.3,0.4,0.7,0.5,true
5-Diamonds,10-Diamonds,Jack-Hearts,9-Spades,Ace-Spades,0.3,0.4,0.7,0.5,true
Ace-Hearts,King-Diamonds,King-Hearts,5-Hearts,7-Clubs,0.4,0.5,true
9-Diamonds,Ace-Hearts,5-Clubs,9-Spades,8-Diamonds,0.3,0.7,false
Ace-Hearts,6-Hearts,Ace-Diamonds,3-Spades,6-Clubs,0.3,0.4,0.7,0.5,true
8-Hearts,10-Hearts,7-Hearts,King-Hearts,2-Spades,0.4,0.5,true
5-Clubs,5-Hearts,7-Hearts,7-Diamonds,3-Hearts,0.3,0.4,0.7,0.5,true
